epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,193.453,1.9739,7.19039,1.72041,0.35512,0.29793,0.25672,0.10708,2.18652,7.26196,2.05612,0.000199606,0.000199606,0.080239
2,339.842,2.07139,7.11223,1.84053,0.41046,0.32435,0.31076,0.13375,2.12566,7.96665,1.97266,0.000399563,0.000399563,0.0604389
3,484.155,2.04996,7.02046,1.82733,0.36421,0.31032,0.25313,0.11141,2.03637,9.76378,1.9121,0.000599346,0.000599346,0.0406387
4,626.873,1.98563,6.76731,1.77114,0.49279,0.36292,0.33331,0.14215,2.04887,7.32937,1.88095,0.000798825,0.000798825,0.0208382
5,769.376,1.94094,6.43936,1.73509,0.48697,0.40682,0.40186,0.18016,2.04486,6.06684,1.83516,0.000997871,0.000997871,0.00103724
6,911.384,1.90004,6.13103,1.68866,0.48693,0.38095,0.38506,0.17661,1.95865,6.23158,1.78312,0.000997288,0.000997288,0.000997288
7,1053.54,1.84662,5.90986,1.64943,0.58396,0.44252,0.46437,0.22048,1.84644,5.49088,1.6888,0.000996097,0.000996097,0.000996097
8,1195.71,1.81694,5.65089,1.63045,0.59894,0.44176,0.48574,0.24464,1.81229,5.46355,1.648,0.00099469,0.00099469,0.00099469
9,1337.61,1.79145,5.60675,1.60486,0.60087,0.47616,0.48662,0.23407,1.79418,5.54715,1.65338,0.000993068,0.000993068,0.000993068
10,1479.6,1.74822,5.37271,1.56771,0.65436,0.48919,0.53168,0.28059,1.72277,4.92906,1.56889,0.000991232,0.000991232,0.000991232
11,1621.54,1.72817,5.25461,1.54801,0.61543,0.5003,0.53624,0.27421,1.76769,4.8913,1.60242,0.000989183,0.000989183,0.000989183
12,1763.49,1.7276,5.21737,1.55513,0.61993,0.51565,0.53857,0.28131,1.7193,4.81056,1.56661,0.000986922,0.000986922,0.000986922
13,1905.55,1.70942,5.04214,1.53441,0.65277,0.49933,0.56183,0.29509,1.73998,4.79004,1.587,0.000984449,0.000984449,0.000984449
14,2047.32,1.65274,4.86786,1.50591,0.66287,0.47499,0.55208,0.2888,1.72797,4.76803,1.57773,0.000981765,0.000981765,0.000981765
15,2189.52,1.66346,4.85342,1.50813,0.67197,0.49773,0.55982,0.30526,1.66347,4.61316,1.52566,0.000978873,0.000978873,0.000978873
